joke n.玩笑
pen n.钢笔
cat n.猫
dog n.狗
pig n.猪
duck n.鸭
rabbit n.兔
horse n.马
ant n.蚂蚁
fish n.鱼
eagle n.鹰
actress n.女演员
artist n.画家
reporter n.电视台记者
engineer n.工程师
accountant n.会计
policeman n.(男)警察
cold adj.寒冷的
warm adj.温暖的
cool adj.凉爽的
snowy adj.下雪的
sunny adj.晴朗的
hot adj.炎热的
rainy adj.下雨的
windy adj.有风的
new adj.新的
fat adj.胖的
happy adj.快乐的
right adj.对的
hungry adj.饥饿的
cute adj.逗人喜爱的
little adj.小的
lovely adj.可爱的
beautiful adj.漂亮的
colourful adj.色彩鲜艳的
pretty adj.漂亮的
expensive adj.昂贵的
our adj.我们的
